WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO
29/3-1,695.31400061,442442.3125,6759399.0,-670.3083496,NORDLAND GP.,Utsira Fm.,18.658067703,,2.1185288429,2.0836677551,,55.057697296,,,,140.79721069,65.151138306,,,,,,,,,
29/3-1,695.46600061,442442.3125,6759399.0,-670.4603271,NORDLAND GP.,Utsira Fm.,18.671878815,,2.1104607582,2.0833685398,,55.94172287,,,,140.55984497,65.455703735,,,,,,,,,
29/3-1,695.61800061,442442.3125,6759399.0,-670.6123047,NORDLAND GP.,Utsira Fm.,18.670124054,,2.1026661396,2.0830693245,,59.910137177,,,,140.99435425,65.541793823,,,,,,,,,
29/3-1,695.77000061,442442.3125,6759399.0,-670.7643433,NORDLAND GP.,Utsira Fm.,18.656299591,,2.0965220928,2.0827701092,,60.830127716,,,,141.90136719,65.612342834,,,,,,,,,
29/3-1,695.92200061,442442.3125,6759399.0,-670.9163208,NORDLAND GP.,Utsira Fm.,18.656309128,,2.0907354355,2.0824708939,,60.659233093,,,,142.46508789,65.689239502,,,,,,,,,
29/3-1,696.07400061,442442.3125,6759399.0,-671.0682983,NORDLAND GP.,Utsira Fm.,18.657867432,,2.0849509239,2.0821716785,,60.195304871,,,,142.31343079,65.482757568,,,,,,,,,
29/3-1,696.22600061,442442.3125,6759399.0,-671.2203369,NORDLAND GP.,Utsira Fm.,18.671880722,,2.0791754723,2.0817894936,,58.43680954,,,,141.86395264,65.489616394,,,,,,,,,
29/3-1,696.37800061,442442.3125,6759399.0,-671.3723145,NORDLAND GP.,Utsira Fm.,18.670322418,,2.0734815598,2.0796005726,,57.013469696,,,,141.43440247,65.319274902,,,,,,,,,
29/3-1,696.53000061,442442.3125,6759399.0,-671.524353,NORDLAND GP.,Utsira Fm.,18.656316757,,2.0676538944,2.0673332214,,58.518455505,,,,141.2374115,65.451728821,,,,,,,,,
29/3-1,696.68200061,442442.3125,6759399.0,-671.6763306,NORDLAND GP.,Utsira Fm.,18.659130096,,2.0606305599,2.0550322533,,60.998435974,,,,141.81390381,65.501075745,,,,,,,,,
29/3-1,696.83400061,442442.3125,6759399.0,-671.8283081,NORDLAND GP.,Utsira Fm.,18.690322876,,2.0454485416,2.0419266224,,61.89440918,,,,142.97799683,65.099861145,,,,,,,,,
29/3-1,696.98600061,442442.3125,6759399.0,-671.9803467,NORDLAND GP.,Utsira Fm.,18.718784332,,2.0286328793,2.0237250328,,58.999485016,,,,143.9914093,65.219360352,,,,,,,,,
29/3-1,697.13800061,442442.3125,6759399.0,-672.1323242,NORDLAND GP.,Utsira Fm.,18.717420578,,2.0084583759,2.0025379658,,57.07452774,,,,145.00921631,65.114295959,,,,,,,,,
