WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO
34/10-16 R,227.29600806,455758.28125,6773609.0,-205.2952881,NORDLAND GP.,,15.350845337,2.0647928715,2.0084681511,2.9653127193,1.7401641607,54.86737442,,0.5256842971,32.003936768,,61.013442993,,,,,,,,,2.0647928715
34/10-16 R,227.44800806,455758.28125,6773609.0,-205.4472961,NORDLAND GP.,,15.259827614,2.0782034397,2.2323281765,2.6636555195,1.7802655697,51.789737701,,0.4652881324,24.324228287,,59.488521576,,,,,,,,,2.0782034397
34/10-16 R,227.60000806,455758.28125,6773609.0,-205.5992889,NORDLAND GP.,,15.264131546,2.1682665348,2.3424320221,2.5884001255,1.8485010862,49.580486298,,0.445510149,18.696382523,,60.28603363,,,,,,,,,2.1682665348
34/10-16 R,227.75200806,455758.28125,6773609.0,-205.751297,NORDLAND GP.,,15.251912117,2.3091402054,2.4155521393,2.6547617912,1.9431729317,50.94657135,,0.4387096167,13.044376373,,59.864864349,,,,,,,,,2.3091402054
34/10-16 R,227.90400806,455758.28125,6773609.0,-205.9032898,NORDLAND GP.,,15.25,2.3004233837,2.4748463631,2.760133028,2.0452959538,50.440006256,,0.4448210597,8.2050828934,,59.241470337,,,,,,,,,2.3004233837
34/10-16 R,228.05600806,455758.28125,6773609.0,-206.0552979,NORDLAND GP.,,15.25,2.3910861015,2.4942359924,2.8213620186,2.1043221951,50.948005676,,0.4125957191,5.9049286842,,59.166000366,,,,,,,,,2.3910861015
34/10-16 R,228.20800806,455758.28125,6773609.0,-206.2072906,NORDLAND GP.,,15.25,2.5582909584,2.4707283974,2.7990705967,2.1127429008,52.291484833,,0.4034797251,5.3194541931,,59.930706024,,,,,,,,,2.5582909584
34/10-16 R,228.36000806,455758.28125,6773609.0,-206.3592834,NORDLAND GP.,,15.27696991,2.4008305073,2.376645565,2.8072359562,2.1112623215,52.250526428,,0.4218773842,4.8727087975,,58.73392868,,,,,,,,,2.4008305073
34/10-16 R,228.51200806,455758.28125,6773609.0,-206.5112915,NORDLAND GP.,,15.267991066,2.3357856274,2.3127641678,2.8307857513,2.105802536,50.367614746,,0.4353440702,4.5130729675,,58.866775513,,,,,,,,,2.3357856274
34/10-16 R,228.66400806,455758.28125,6773609.0,-206.6632843,NORDLAND GP.,,15.299726486,2.3160994053,2.2557766438,2.6046404839,2.1101820469,50.067070007,,0.4462643862,4.2404947281,,57.61687851,,,,,,,,,2.3160994053
34/10-16 R,228.81600806,455758.28125,6773609.0,-206.8152924,NORDLAND GP.,,15.305000305,2.3469128609,2.2006492615,2.5266935825,2.1092779636,51.740497589,,0.4334972799,4.2229585648,,58.06357193,,,,,,,,,2.3469128609
34/10-16 R,228.96800806,455758.28125,6773609.0,-206.9672852,NORDLAND GP.,,15.331644058,2.2811880112,2.1329212189,2.4828670025,2.1047081947,53.376220703,,0.4683673084,4.2737674713,,57.735572815,,,,,,,,,2.2811880112
34/10-16 R,229.12000806,455758.28125,6773609.0,-207.1192932,NORDLAND GP.,,15.38312912,2.3070194721,2.0862085819,2.4141530991,2.0920188427,53.1369133,,0.4791812301,4.3942704201,,58.309726715,,,,,,,,,2.3070194721
34/10-16 R,229.27200806,455758.28125,6773609.0,-207.271286,NORDLAND GP.,,15.457632065,2.2357563972,2.0586740971,2.3791103363,2.0797622204,51.58782196,,0.4916155934,4.460296154,,58.095096588,,,,,,,,,2.2357563972
34/10-16 R,229.42400806,455758.28125,6773609.0,-207.4232941,NORDLAND GP.,,15.50902462,2.1742303371,2.0498976707,2.3732886314,2.0694949627,49.258274078,,0.4791530073,4.736702919,,59.42729187,,,,,,,,,2.1742303371
34/10-16 R,229.57600806,455758.28125,6773609.0,-207.5752869,NORDLAND GP.,,15.535528183,2.2444791794,2.0371315479,2.359351635,2.0569770336,46.08108139,,0.4786365628,4.796587944,,59.559696198,,,,,,,,,2.2444791794
34/10-16 R,229.72800806,455758.28125,6773609.0,-207.7272949,NORDLAND GP.,,15.611789703,2.257999897,2.0155611038,2.3544487953,2.0482375622,47.055656433,,0.4822966456,5.0758347511,,59.646972656,,,,,,,,,2.257999897
34/10-16 R,229.88000806,455758.28125,6773609.0,-207.8792877,NORDLAND GP.,,15.749872208,2.1435551643,2.0035748482,2.3548476696,2.0453147888,48.610736847,,0.4779874682,4.8854112625,,58.503822327,,,,,,,,,2.1435551643
34/10-16 R,230.03200806,455758.28125,6773609.0,-208.0312958,NORDLAND GP.,,15.845332146,2.1677939892,2.0137584209,2.3617613316,2.0517199039,49.741371155,,0.4827818274,4.8922996521,,58.396324158,,,,,,,,,2.1677939892
34/10-16 R,230.18400806,455758.28125,6773609.0,-208.1832886,NORDLAND GP.,,15.879123688,2.2712054253,2.0201864243,2.376480341,2.0546748638,48.300365448,,0.4647185802,4.6780767441,,59.255924225,,,,,,,,,2.2712054253
34/10-16 R,230.33600806,455758.28125,6773609.0,-208.3352966,NORDLAND GP.,,15.895537376,2.1840162277,2.0209999084,2.3890783787,2.0516610146,48.865802765,,0.4646061957,4.7058310509,,59.625339508,,,,,,,,,2.1840162277
34/10-16 R,230.48800806,455758.28125,6773609.0,-208.4872894,NORDLAND GP.,,15.885500908,2.1589763165,2.0409705639,2.3968610764,2.037686348,50.888557434,,0.480730623,4.8097462654,,58.726951599,,,,,,,,,2.1589763165
34/10-16 R,230.64000806,455758.28125,6773609.0,-208.6392822,NORDLAND GP.,,15.830664635,2.1546611786,2.0599315166,2.4046778679,2.0242161751,51.224132538,,0.5210446119,5.0850772858,,58.749015808,,,,,,,,,2.1546611786
34/10-16 R,230.79200806,455758.28125,6773609.0,-208.791275,NORDLAND GP.,,15.79432869,2.3670182228,2.072095871,2.4126567841,2.0029814243,50.334686279,,0.5158979297,5.7498035431,,59.102054596,,,,,,,,,2.3670182228
34/10-16 R,230.94400806,455758.28125,6773609.0,-208.9432831,NORDLAND GP.,,15.731219292,2.2689800262,2.0550425053,2.4206361771,1.9841636419,50.07888031,,0.4830857813,6.6426005363,,59.579421997,,,,,,,,,2.2689800262
34/10-16 R,231.09600806,455758.28125,6773609.0,-209.0952759,NORDLAND GP.,,15.628484726,2.2648067474,2.0279955864,2.4219999313,1.9694977999,51.689727783,,0.4417673051,7.6106829643,,58.738788605,,,,,,,,,2.2648067474
34/10-16 R,231.24800806,455758.28125,6773609.0,-209.2472687,NORDLAND GP.,,15.609000206,2.1760370731,2.0107147694,2.4203515053,1.971914053,53.936950684,,0.4536496699,8.4070472717,,58.438308716,,,,,,,,,2.1760370731
34/10-16 R,231.40000806,455758.28125,6773609.0,-209.3992767,NORDLAND GP.,,15.609000206,2.2767841816,1.9998363256,2.4117834568,1.9803473949,53.522624969,,0.4735018909,7.8991761208,,58.8254776,,,,,,,,,2.2767841816
34/10-16 R,231.55200806,455758.28125,6773609.0,-209.5512695,NORDLAND GP.,,15.698649406,2.2055363655,2.0297348499,2.3985335827,1.9942057133,52.729961395,,0.5142926574,7.42800951,,59.018039703,,,,,,,,,2.2055363655
34/10-16 R,231.70400806,455758.28125,6773609.0,-209.7032776,NORDLAND GP.,,15.788863182,2.8852591515,2.0816128254,2.3951835632,2.0107893944,49.712181091,,0.5051471591,6.6710028648,,59.75295639,,,,,,,,,2.8852591515
34/10-16 R,231.85600806,455758.28125,6773609.0,-209.8552704,NORDLAND GP.,,15.880302429,2.5075781345,2.0952339172,2.3917450905,2.0309786797,50.053855896,,0.5131899118,5.9166674614,,60.828475952,,,,,,,,,2.5075781345
34/10-16 R,232.00800806,455758.28125,6773609.0,-210.0072784,NORDLAND GP.,,15.980319023,2.2819855213,2.070212841,2.386133194,2.0551462173,49.242294312,,0.4815716445,4.388657093,,61.142055511,,,,,,,,,2.2819855213
34/10-16 R,232.16000806,455758.28125,6773609.0,-210.1592712,NORDLAND GP.,,16.050682068,2.257999897,2.040705204,2.3801488876,2.0696392059,47.15631485,,0.4813810885,3.4392933846,,61.871070862,,,,,,,,,2.257999897
34/10-16 R,232.31200806,455758.28125,6773609.0,-210.3112793,NORDLAND GP.,,16.062999725,2.1806390285,2.0269937515,2.3693299294,2.0615916252,43.697841644,,0.4619449675,3.1012794971,,61.438644409,,,,,,,,,2.1806390285
34/10-16 R,232.46400806,455758.28125,6773609.0,-210.4632721,NORDLAND GP.,,16.074987411,2.1652128696,2.0082423687,2.3549509048,2.0382525921,42.617290497,,0.4542240202,3.4083173275,,59.990085602,,,,,,,,,2.1652128696
