WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO
34/3-3 A,2233.8739755,485125.375,6851554.0,-2215.842529,SHETLAND GP.,Jorsalfare Fm.,12.108596802,,0.8919777274,0.9058133364,,86.631866455,,,,121.43372345,,17.5,48.492790222,,,0.0036552839,,,36.052440643,
34/3-3 A,2234.0259755,485125.375,6851554.0,-2215.994385,SHETLAND GP.,Jorsalfare Fm.,12.155840874,,0.8303547502,0.8448826671,,86.100631714,,,,121.46490479,,17.5,48.871433258,,,0.004647234,,,30.72284317,
34/3-3 A,2234.1779755,485125.375,6851554.0,-2216.146484,SHETLAND GP.,Jorsalfare Fm.,12.215875626,,0.8608261943,0.8664986491,,86.253669739,,,,121.49608612,,17.5,48.645614624,,,0.0115079079,,,29.582565308,
34/3-3 A,2234.3299755,485125.375,6851554.0,-2216.298584,SHETLAND GP.,Jorsalfare Fm.,12.200964928,,0.9196779132,0.9059003592,,86.787658691,,,,121.52726746,,17.5,48.199508667,,,0.0095682619,,,29.883283615,
34/3-3 A,2234.4819755,485125.375,6851554.0,-2216.450439,SHETLAND GP.,Jorsalfare Fm.,12.165108681,,0.9314620495,0.9040877819,,87.321647644,,,,121.55844879,,17.5,47.353076935,,,0.003119255,,,30.184209824,
34/3-3 A,2234.6339755,485125.375,6851554.0,-2216.602539,SHETLAND GP.,Jorsalfare Fm.,12.185089111,,0.9257409573,0.9048058987,,88.532966614,,,,121.5896225,,17.5,47.409858704,,,-0.003765176,,,30.485380173,
34/3-3 A,2234.7859755,485125.375,6851554.0,-2216.754395,SHETLAND GP.,Jorsalfare Fm.,12.315354347,,0.9321852922,0.9229866862,,88.613502502,,,,121.62080383,,17.5,47.74571991,,,-0.012530755,,,30.786396027,
34/3-3 A,2234.9379755,485125.375,6851554.0,-2216.906494,SHETLAND GP.,Jorsalfare Fm.,12.333597183,,0.9386783242,0.9199973941,,89.59576416,,,,121.65198517,,17.5,46.992546082,,,-0.017014476,,,31.087118149,
34/3-3 A,2235.0899755,485125.40625,6851554.0,-2217.058594,SHETLAND GP.,Jorsalfare Fm.,12.318084717,,0.9255789518,0.8956582546,,91.629562378,,,,121.6831665,,17.5,44.735858917,,,-0.023430493,,,30.124652863,
34/3-3 A,2235.2419755,485125.40625,6851554.0,-2217.210449,SHETLAND GP.,Jorsalfare Fm.,12.327330589,,0.9154583812,0.8683680296,,88.356681824,,,,121.71434784,,17.5,44.074474335,,,-0.027497604,,,28.362121582,
34/3-3 A,2235.3939755,485125.40625,6851554.0,-2217.362305,SHETLAND GP.,Jorsalfare Fm.,12.413973808,,0.935533464,0.8984837532,,84.929168701,,,,121.74552917,,17.5,44.65272522,,,-0.031208625,,,26.572340012,
34/3-3 A,2235.5459755,485125.40625,6851554.0,-2217.51416,SHETLAND GP.,Jorsalfare Fm.,12.469809532,,0.9572543502,0.9127810597,,86.309959412,,,,121.77671051,,17.5,44.490272522,,,-0.032930098,,,24.784311295,
34/3-3 A,2235.6979755,485125.40625,6851554.0,-2217.66626,SHETLAND GP.,Jorsalfare Fm.,12.474994659,,0.9580977559,0.9061772823,,93.564727783,,,,121.80788422,,17.5,43.422580719,,,-0.030981824,,,22.995439529,
34/3-3 A,2235.8499755,485125.40625,6851554.0,-2217.818115,SHETLAND GP.,Jorsalfare Fm.,12.480179787,,0.9602133036,0.912519455,,96.007461548,,,,121.83906555,,17.5,42.817634583,,,-0.025681494,,,21.205953598,
34/3-3 A,2236.0019755,485125.40625,6851554.0,-2217.970215,SHETLAND GP.,Jorsalfare Fm.,12.306163788,,0.9969016314,0.9371273518,,90.623268127,,,,121.87024689,,17.5,43.617160797,,,-0.01873615,,,19.746715546,
34/3-3 A,2236.1539755,485125.40625,6851554.0,-2218.12207,SHETLAND GP.,Jorsalfare Fm.,12.157331467,,1.0178546906,0.9494517446,,88.961242676,,,,121.90142822,,17.5,43.75037384,,,-0.015939411,,,18.983974457,
34/3-3 A,2236.3059755,485125.40625,6851554.0,-2218.273926,SHETLAND GP.,Jorsalfare Fm.,12.159748077,,1.0143643618,0.9422669411,,96.41758728,,,,121.93260956,,17.5,42.809516907,,,-0.018312024,,,18.534416199,
