WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO
15/9-14,480.62800085,423244.5,6461862.5,-455.6244202,NORDLAND GP.,,19.203100204,,1.6138863564,1.513936758,2.1711726189,72.07837677,,0.5515751839,55.815658569,174.34709167,35.525718689,,96.461990356,,,-0.538872838,0.1306107789,,,
15/9-14,480.78000085,423244.5,6461862.5,-455.7764282,NORDLAND GP.,,19.203100204,,1.5743757486,1.4801878929,2.1718399525,72.147697449,,0.5475661755,41.862537384,176.11291504,36.158519745,,96.454399109,,,-0.539232254,0.1306107789,,,
15/9-14,480.93200085,423244.5,6461862.5,-455.9284363,NORDLAND GP.,,19.203100204,,1.4366265535,1.4696999788,2.1613030434,75.07421875,,0.5518398881,38.587871552,177.66247559,36.873703003,,96.446685791,,,-0.540829837,0.1306107789,,,
15/9-14,481.08400085,423244.5,6461862.5,-456.0804443,NORDLAND GP.,,19.203100204,,1.2760938406,1.4693410397,2.1519467831,80.735229492,,0.552510798,41.417999268,177.43771362,37.30405426,,161.17016602,,,-0.54394275,0.1306107789,,,
15/9-14,481.23600085,423244.53125,6461862.5,-456.2324219,NORDLAND GP.,,19.203100204,,1.2047036886,1.4664616585,2.143009901,81.665023804,,0.5667893291,49.471237183,176.7976532,37.86492157,,172.48912048,,,-0.542103648,0.1306107789,,,
15/9-14,481.38800085,423244.53125,6461862.5,-456.3844299,NORDLAND GP.,,19.203100204,,1.2413810492,1.4617583752,2.1248006821,80.585670471,,0.5634053349,52.074615479,175.19087219,37.630371094,,172.34333801,,,-0.539374113,0.1306107789,,,
15/9-14,481.54000085,423244.53125,6461862.5,-456.536438,NORDLAND GP.,,19.203100204,,1.3583912849,1.4607429504,2.1048252583,80.100151062,,0.5740912557,53.866226196,174.23455811,37.403320313,,172.19758606,,,-0.53363657,0.1306107789,,,
15/9-14,481.69200085,423244.53125,6461862.5,-456.6884155,NORDLAND GP.,,19.203100204,,1.4781135321,1.4740557671,2.097700119,81.13168335,,0.5615642667,49.976135254,173.88452148,37.143817902,,172.05178833,,,-0.527702808,0.1306107789,,,
15/9-14,481.84400085,423244.53125,6461862.5,-456.8404236,NORDLAND GP.,,19.203100204,,1.5325726271,1.5075097084,2.1044499874,80.35269928,,0.554793179,46.479324341,174.16766357,36.397197723,,171.90603638,,,-0.522702873,0.1306107789,,,
15/9-14,481.99600085,423244.53125,6461862.5,-456.9924316,NORDLAND GP.,,19.203100204,,1.531957984,1.5426342487,2.1181879044,77.356147766,,0.5242437124,44.708171844,174.03283691,36.348285675,,171.59417725,,,-0.521685421,0.1306107789,,,
15/9-14,482.14800085,423244.53125,6461862.5,-457.1444397,NORDLAND GP.,,19.203100204,,1.5096639395,1.5691963434,2.1334247589,76.049659729,,0.5198286176,42.698249817,173.56672668,35.953136444,,133.24084473,,,-0.523296654,0.1306107789,,,
15/9-14,482.30000085,423244.53125,6461862.5,-457.2964172,NORDLAND GP.,,19.203100204,,1.5102823973,1.5808181763,2.159999609,78.029502869,,0.5255220532,47.081489563,173.70761108,35.919277191,,133.23323059,,,-0.517796159,0.1306107789,,,
15/9-14,482.45200085,423244.53125,6461862.5,-457.4484253,NORDLAND GP.,,19.208992004,,1.4857376814,1.5790728331,2.1809415817,77.858276367,,0.5331562161,53.416374207,173.66972351,36.456134796,,133.22557068,,,-0.50839752,0.1306107789,,,
15/9-14,482.60400085,423244.53125,6461862.5,-457.6004333,NORDLAND GP.,,19.207136154,,1.4655818939,1.5734920502,2.1931145191,75.623809814,,0.5450741053,69.325462341,174.4379425,36.410606384,,133.21789551,,,-0.50073874,0.1306107789,,,
15/9-14,482.75600085,423244.53125,6461862.5,-457.7524414,NORDLAND GP.,,19.1875,,1.4306999445,1.5686742067,2.1970541477,75.98374939,,0.5542830229,102.24214172,175.23272705,35.561164856,,133.21031189,,,-0.500873685,0.1306107789,,,
15/9-14,482.90800085,423244.53125,6461862.5,-457.9044189,NORDLAND GP.,,19.1875,,1.4213701487,1.5596349239,2.1876330376,77.853164673,,0.5719676614,94.167823792,175.56488037,36.50169754,,133.20263672,,,-0.511597574,0.1306107789,,,
15/9-14,483.06000085,423244.53125,6461862.5,-458.056427,NORDLAND GP.,,19.1875,,1.4145641327,1.5518550873,2.1655910015,79.820510864,,0.5663999915,63.245197296,175.15113831,37.477420807,,148.51426697,,,-0.523121476,0.1306107789,,,
15/9-14,483.21200085,423244.53125,6461862.5,-458.2084351,NORDLAND GP.,,19.1875,,1.4430510998,1.547950387,2.134611845,78.644683838,,0.5808881521,36.919723511,174.18740845,37.212913513,,157.17723083,,,-0.531169295,0.1306107789,,,
15/9-14,483.36400085,423244.53125,6461862.5,-458.3604431,NORDLAND GP.,,19.1875,,1.4630742073,1.5515618324,2.1129932404,79.460678101,,0.6032719612,33.077674866,173.76367188,36.728199005,,156.63301086,,,-0.534102261,0.1306107789,,,
15/9-14,483.51600085,423244.53125,6461862.5,-458.5124207,NORDLAND GP.,,19.1875,,1.4592862129,1.5567699671,2.1006104946,78.990722656,,0.5858511925,33.681362152,173.49913025,36.896614075,,156.62535095,,,-0.541846275,0.1306107789,,,
15/9-14,483.66800085,423244.53125,6461862.5,-458.6644287,NORDLAND GP.,,19.176446915,,1.4542096853,1.562590003,2.0980346203,79.188667297,,0.5572027564,32.133636475,173.71466064,37.691020966,,156.61775208,,,-0.551618814,0.1306107789,,,
15/9-14,483.82000085,423244.53125,6461862.5,-458.8164368,NORDLAND GP.,,19.156299591,,1.4545073509,1.5677711964,2.1121423244,78.860397339,,0.5560998321,32.531936646,173.88336182,35.87077713,,156.61010742,,,-0.551883578,0.1306107789,,,
